Gene name	Ensembl gene ID	Location	Gene type	Description	Source for gene being significantly up-regulated in aging MII oocytes	No. of sources	Source for gene being significantly down-regulated in aging MII oocytes	No. of sources	Is this gene consistently up- or down-regulated? (i.e. no study draws an opposing conclusion)
ALAD	ENSG00000148218	9:113386312-113401290:-1	protein_coding	aminolevulinate dehydratase [Source:HGNC Symbol;Acc:HGNC:395]	Barone 2020	1	.	0	yes
ASTN2	ENSG00000148219	9:116423112-117415070:-1	protein_coding	astrotactin 2 [Source:HGNC Symbol;Acc:HGNC:17021]	Barone 2020	1	This study	1	no
POLE3	ENSG00000148229	9:113407235-113410675:-1	protein_coding	DNA polymerase epsilon 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:13546]	.	0	Barone 2020, Grondahl 2010	2	yes
SURF4	ENSG00000148248	9:133361450-133376166:-1	protein_coding	surfeit 4 [Source:HGNC Symbol;Acc:HGNC:11476]	.	0	Pan 2008	1	yes
SURF1	ENSG00000148290	9:133351758-133356676:-1	protein_coding	SURF1 cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:11474]	Pan 2008, This study	2	Ntostis 2021	1	no
SURF2	ENSG00000148291	9:133356550-133361158:1	protein_coding	surfeit 2 [Source:HGNC Symbol;Acc:HGNC:11475]	.	0	Ntostis 2021	1	yes
RPL7A	ENSG00000148303	9:133348218-133351426:1	protein_coding	ribosomal protein L7a [Source:HGNC Symbol;Acc:HGNC:10364]	Steuerwald 2007	1	.	0	yes
ASB6	ENSG00000148331	9:129634604-129642169:-1	protein_coding	ankyrin repeat and SOCS box containing 6 [Source:HGNC Symbol;Acc:HGNC:17181]	.	0	Barone 2020, This study	2	yes
PTGES2	ENSG00000148334	9:128120693-128128462:-1	protein_coding	prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]	.	0	Ntostis 2021	1	yes
PAXX	ENSG00000148362	9:136992422-136993984:1	protein_coding	PAXX non-homologous end joining factor [Source:HGNC Symbol;Acc:HGNC:27849]	.	0	Ntostis 2021	1	yes
NACC2	ENSG00000148411	9:136006537-136095289:-1	protein_coding	NACC family member 2 [Source:HGNC Symbol;Acc:HGNC:23846]	.	0	Barone 2020	1	yes
COMMD3	ENSG00000148444	10:22316386-22320306:1	protein_coding	COMM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23332]	.	0	Ntostis 2021	1	yes
PARD3	ENSG00000148498	10:34109560-34815325:-1	protein_coding	par-3 family cell polarity regulator [Source:HGNC Symbol;Acc:HGNC:16051]	Yuan 2021	1	.	0	yes
CAMK2G	ENSG00000148660	10:73812501-73874591:-1	protein_coding	calcium/calmodulin dependent protein kinase II gamma [Source:HGNC Symbol;Acc:HGNC:1463]	Grondahl 2010	1	Hamatini 2004	1	no
GLUD1	ENSG00000148672	10:87050202-87094843:-1	protein_coding	glutamate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:4335]	Barone 2020	1	.	0	yes
HTR7	ENSG00000148680	10:90740823-90858039:-1	protein_coding	5-hydroxytryptamine receptor 7 [Source:HGNC Symbol;Acc:HGNC:5302]	Yuan 2021	1	.	0	yes
FRA10AC1	ENSG00000148690	10:93667883-93702592:-1	protein_coding	FRA10A associated CGG repeat 1 [Source:HGNC Symbol;Acc:HGNC:1162]	Llonch 2021	1	.	0	yes
ADD3	ENSG00000148700	10:109996368-110135565:1	protein_coding	adducin 3 [Source:HGNC Symbol;Acc:HGNC:245]	.	0	Pan 2008, Steuerwald 2007	2	yes
HABP2	ENSG00000148702	10:113550837-113589602:1	protein_coding	hyaluronan binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4798]	.	0	Barone 2020	1	yes
DNAJB12	ENSG00000148719	10:72332830-72355149:-1	protein_coding	DnaJ heat shock protein family (Hsp40) member B12 [Source:HGNC Symbol;Acc:HGNC:14891]	This study	1	.	0	yes
INA	ENSG00000148798	10:103277138-103290346:1	protein_coding	internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057]	Pan 2008, This study	2	.	0	yes
PAOX	ENSG00000148832	10:133379261-133391694:1	protein_coding	polyamine oxidase [Source:HGNC Symbol;Acc:HGNC:20837]	.	0	Ntostis 2021	1	yes
GSTO1	ENSG00000148834	10:104235356-104267459:1	protein_coding	glutathione S-transferase omega 1 [Source:HGNC Symbol;Acc:HGNC:13312]	Pan 2008	1	.	0	yes
PPRC1	ENSG00000148840	10:102132994-102150333:1	protein_coding	PPARG related coactivator 1 [Source:HGNC Symbol;Acc:HGNC:30025]	This study	1	Llonch 2021, Pan 2008, Reyes 2017	3	no
RGS10	ENSG00000148908	10:119499817-119542719:-1	protein_coding	regulator of G protein signaling 10 [Source:HGNC Symbol;Acc:HGNC:9992]	.	0	Ntostis 2021	1	yes
ADM	ENSG00000148926	11:10305073-10307397:1	protein_coding	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	Zhang 2020	1	.	0	yes
LIN7C	ENSG00000148943	11:27494418-27506769:-1	protein_coding	lin-7 homolog C, crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:17789]	.	0	Pan 2008	1	yes
ZNF214	ENSG00000149050	11:6997085-7020346:-1	protein_coding	zinc finger protein 214 [Source:HGNC Symbol;Acc:HGNC:13006]	.	0	Barone 2020, Zhang 2020	2	yes
HSD17B12	ENSG00000149084	11:43680680-43856617:1	protein_coding	hydroxysteroid 17-beta dehydrogenase 12 [Source:HGNC Symbol;Acc:HGNC:18646]	Barone 2020	1	.	0	yes
DGKZ	ENSG00000149091	11:46332905-46380554:1	protein_coding	diacylglycerol kinase zeta [Source:HGNC Symbol;Acc:HGNC:2857]	This study	1	.	0	yes
SSRP1	ENSG00000149136	11:57325986-57335892:-1	protein_coding	structure specific recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:11327]	This study	1	Pan 2008	1	no
ARFGAP2	ENSG00000149182	11:47164299-47177125:-1	protein_coding	ADP ribosylation factor GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:13504]	This study	1	.	0	yes
CELF1	ENSG00000149187	11:47465933-47565569:-1	protein_coding	CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]	Yuan 2021	1	Barone 2020	1	no
HIKESHI	ENSG00000149196	11:86302211-86345943:1	protein_coding	heat shock protein nuclear import factor hikeshi [Source:HGNC Symbol;Acc:HGNC:26938]	This study	1	.	0	yes
ENDOD1	ENSG00000149218	11:95089846-95132645:1	protein_coding	endonuclease domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29129]	This study	1	.	0	yes
CCDC82	ENSG00000149231	11:96349241-96389956:-1	protein_coding	coiled-coil domain containing 82 [Source:HGNC Symbol;Acc:HGNC:26282]	Llonch 2021	1	.	0	yes
KLHL35	ENSG00000149243	11:75422394-75433203:-1	protein_coding	kelch like family member 35 [Source:HGNC Symbol;Acc:HGNC:26597]	This study	1	.	0	yes
TENM4	ENSG00000149256	11:78652829-79441030:-1	protein_coding	teneurin transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:29945]	Llonch 2021, This study	2	.	0	yes
CAPN5	ENSG00000149260	11:77066961-77126155:1	protein_coding	calpain 5 [Source:HGNC Symbol;Acc:HGNC:1482]	This study	1	.	0	yes
RPS3	ENSG00000149273	11:75399515-75422280:1	protein_coding	ribosomal protein S3 [Source:HGNC Symbol;Acc:HGNC:10420]	Steuerwald 2007	1	.	0	yes
C11orf52	ENSG00000149300	11:111918032-111926871:1	protein_coding	chromosome 11 open reading frame 52 [Source:HGNC Symbol;Acc:HGNC:30531]	.	0	Ntostis 2021	1	yes
SLX4IP	ENSG00000149346	20:10435305-10636829:1	protein_coding	SLX4 interacting protein [Source:HGNC Symbol;Acc:HGNC:16225]	.	0	Barone 2020	1	yes
LAMTOR1	ENSG00000149357	11:72085895-72103297:-1	protein_coding	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:HGNC Symbol;Acc:HGNC:26068]	This study	1	Ntostis 2021	1	no
HYOU1	ENSG00000149428	11:119044188-119057227:-1	protein_coding	hypoxia up-regulated 1 [Source:HGNC Symbol;Acc:HGNC:16931]	Barone 2020	1	.	0	yes
TMEM138	ENSG00000149483	11:61361964-61377890:1	protein_coding	transmembrane protein 138 [Source:HGNC Symbol;Acc:HGNC:26944]	.	0	Ntostis 2021, This study	2	yes
FADS1	ENSG00000149485	11:61799627-61829318:-1	protein_coding	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]	Zhang 2020	1	.	0	yes
INCENP	ENSG00000149503	11:62123998-62153169:1	protein_coding	inner centromere protein [Source:HGNC Symbol;Acc:HGNC:6058]	Llonch 2021, This study	2	.	0	yes
ZP1	ENSG00000149506	11:60867542-60875693:1	protein_coding	zona pellucida glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:13187]	.	0	Barone 2020, Hamatini 2004, Pan 2008	3	yes
CCDC15	ENSG00000149548	11:124954121-125041489:1	protein_coding	coiled-coil domain containing 15 [Source:HGNC Symbol;Acc:HGNC:25798]	Yuan 2021	1	.	0	yes
CHEK1	ENSG00000149554	11:125625163-125676255:1	protein_coding	checkpoint kinase 1 [Source:HGNC Symbol;Acc:HGNC:1925]	.	0	Pan 2008, Steuerwald 2007	2	yes
KIRREL3	ENSG00000149571	11:126423358-127003460:-1	protein_coding	kirre like nephrin family adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:23204]	Ntostis 2021	1	.	0	yes
SIDT2	ENSG00000149577	11:117178736-117197445:1	protein_coding	SID1 transmembrane family member 2 [Source:HGNC Symbol;Acc:HGNC:24272]	This study	1	.	0	yes
TRPT1	ENSG00000149743	11:64223799-64226254:-1	protein_coding	tRNA phosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:20316]	.	0	Ntostis 2021	1	yes
CDC42EP2	ENSG00000149798	11:65314866-65322417:1	protein_coding	CDC42 effector protein 2 [Source:HGNC Symbol;Acc:HGNC:16263]	.	0	Ntostis 2021	1	yes
FAU	ENSG00000149806	11:65120630-65122177:-1	protein_coding	FAU ubiquitin like and ribosomal protein S30 fusion [Source:HGNC Symbol;Acc:HGNC:3597]	Pan 2008	1	.	0	yes
TM7SF2	ENSG00000149809	11:65111845-65116384:1	protein_coding	transmembrane 7 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11863]	.	0	Ntostis 2021	1	yes
PPP4C	ENSG00000149923	16:30075978-30085376:1	protein_coding	protein phosphatase 4 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9319]	Yuan 2021	1	Pan 2008	1	no
ALDOA	ENSG00000149925	16:30064164-30070457:1	protein_coding	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	Barone 2020, Llonch 2021	2	.	0	yes
CNTN5	ENSG00000149972	11:99020949-100358885:1	protein_coding	contactin 5 [Source:HGNC Symbol;Acc:HGNC:2175]	This study	1	.	0	yes
ITGB1	ENSG00000150093	10:32887273-33005792:-1	protein_coding	integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]	.	0	Pan 2008	1	yes
TMCO3	ENSG00000150403	13:113491021-113554590:1	protein_coding	transmembrane and coiled-coil domains 3 [Source:HGNC Symbol;Acc:HGNC:20329]	Ntostis 2021	1	.	0	yes
LATS2	ENSG00000150457	13:20973036-21061586:-1	protein_coding	large tumor suppressor kinase 2 [Source:HGNC Symbol;Acc:HGNC:6515]	.	0	Llonch 2021	1	yes
SAP18	ENSG00000150459	13:21140119-21149097:1	protein_coding	Sin3A associated protein 18 [Source:HGNC Symbol;Acc:HGNC:10530]	Barone 2020	1	Ntostis 2021	1	no
PDCD4	ENSG00000150593	10:110871795-110900006:1	protein_coding	programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]	Pan 2008	1	.	0	yes
GPM6A	ENSG00000150625	4:175632934-176002664:-1	protein_coding	glycoprotein M6A [Source:HGNC Symbol;Acc:HGNC:4460]	.	0	Pan 2008, This study	2	yes
VEGFC	ENSG00000150630	4:176683538-176792922:-1	protein_coding	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	.	0	Ntostis 2021	1	yes
RGS18	ENSG00000150681	1:192158462-192185815:1	protein_coding	regulator of G protein signaling 18 [Source:HGNC Symbol;Acc:HGNC:14261]	.	0	Ntostis 2021	1	yes
PRSS23	ENSG00000150687	11:86791059-86952910:1	protein_coding	serine protease 23 [Source:HGNC Symbol;Acc:HGNC:14370]	.	0	Ntostis 2021	1	yes
MTMR12	ENSG00000150712	5:32226994-32312987:-1	protein_coding	myotubularin related protein 12 [Source:HGNC Symbol;Acc:HGNC:18191]	.	0	Barone 2020	1	yes
CCT5	ENSG00000150753	5:10249929-10266389:1	protein_coding	chaperonin containing TCP1 subunit 5 [Source:HGNC Symbol;Acc:HGNC:1618]	.	0	Hamatini 2004	1	yes
ATPSCKMT	ENSG00000150756	5:10225507-10249897:-1	protein_coding	ATP synthase c subunit lysine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:27029]	.	0	Ntostis 2021	1	yes
DOCK1	ENSG00000150760	10:126905409-127452517:1	protein_coding	dedicator of cytokinesis 1 [Source:HGNC Symbol;Acc:HGNC:2987]	.	0	Barone 2020	1	yes
DLAT	ENSG00000150768	11:112025033-112064404:1	protein_coding	dihydrolipoamide S-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2896]	.	0	Pan 2008	1	yes
PIH1D2	ENSG00000150773	11:112063218-112074274:-1	protein_coding	PIH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25210]	Llonch 2021	1	.	0	yes
TIMM8B	ENSG00000150779	11:112084800-112086798:-1	protein_coding	translocase of inner mitochondrial membrane 8 homolog B [Source:HGNC Symbol;Acc:HGNC:11818]	Pan 2008	1	.	0	yes
PTS	ENSG00000150787	11:112226367-112269955:1	protein_coding	6-pyruvoyltetrahydropterin synthase [Source:HGNC Symbol;Acc:HGNC:9689]	.	0	Llonch 2021, Ntostis 2021	2	yes
C2orf50	ENSG00000150873	2:11133128-11151317:1	protein_coding	chromosome 2 open reading frame 50 [Source:HGNC Symbol;Acc:HGNC:26324]	.	0	Ntostis 2021	1	yes
UBC	ENSG00000150991	12:124911604-124917368:-1	protein_coding	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	Pan 2008, Yuan 2021	2	Hamatini 2004	1	no
ITPR1	ENSG00000150995	3:4493345-4847506:1	protein_coding	inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]	.	0	Grondahl 2010	1	yes
NOCT	ENSG00000151014	4:139015781-139045939:1	protein_coding	nocturnin [Source:HGNC Symbol;Acc:HGNC:14254]	.	0	This study	1	yes
DCP1B	ENSG00000151065	12:1946053-2004535:-1	protein_coding	decapping mRNA 1B [Source:HGNC Symbol;Acc:HGNC:24451]	Barone 2020	1	.	0	yes
CACNA1C	ENSG00000151067	12:1970772-2697950:1	protein_coding	calcium voltage-gated channel subunit alpha1 C [Source:HGNC Symbol;Acc:HGNC:1390]	Llonch 2021, This study	2	.	0	yes
THRB	ENSG00000151090	3:24117153-24495756:-1	protein_coding	thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799]	.	0	Barone 2020, Llonch 2021	2	yes
OXSM	ENSG00000151093	3:25782917-25794534:1	protein_coding	3-oxoacyl-ACP synthase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26063]	.	0	Ntostis 2021	1	yes
IPMK	ENSG00000151151	10:58191517-58267894:-1	protein_coding	inositol polyphosphate multikinase [Source:HGNC Symbol;Acc:HGNC:20739]	.	0	Pan 2008	1	yes
DLG5	ENSG00000151208	10:77790791-77926755:-1	protein_coding	discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904]	Barone 2020	1	.	0	yes
EIF4E	ENSG00000151247	4:98879276-98929133:-1	protein_coding	eukaryotic translation initiation factor 4E [Source:HGNC Symbol;Acc:HGNC:3287]	.	0	Hamatini 2004, Pan 2008	2	yes
MAGI1	ENSG00000151276	3:65353525-66038918:-1	protein_coding	membrane associated guanylate kinase, WW and PDZ domain containing 1 [Source:HGNC Symbol;Acc:HGNC:946]	.	0	Barone 2020	1	yes
AKAP6	ENSG00000151320	14:32329298-32837684:1	protein_coding	A-kinase anchoring protein 6 [Source:HGNC Symbol;Acc:HGNC:376]	This study	1	Barone 2020	1	no
NPAS3	ENSG00000151322	14:32934396-33820863:1	protein_coding	neuronal PAS domain protein 3 [Source:HGNC Symbol;Acc:HGNC:19311]	.	0	Pan 2008, Yuan 2021	2	yes
MBIP	ENSG00000151332	14:36298564-36320637:-1	protein_coding	MAP3K12 binding inhibitory protein 1 [Source:HGNC Symbol;Acc:HGNC:20427]	Pan 2008	1	Llonch 2021	1	no
MIPOL1	ENSG00000151338	14:37197894-37579125:1	protein_coding	mirror-image polydactyly 1 [Source:HGNC Symbol;Acc:HGNC:21460]	Llonch 2021	1	.	0	yes
EXT2	ENSG00000151348	11:44095648-44251962:1	protein_coding	exostosin glycosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:3513]	Llonch 2021	1	.	0	yes
THRSP	ENSG00000151365	11:78063861-78068351:1	protein_coding	thyroid hormone responsive [Source:HGNC Symbol;Acc:HGNC:11800]	This study	1	.	0	yes
NDUFC2	ENSG00000151366	11:78068297-78079862:-1	protein_coding	NADH:ubiquinone oxidoreductase subunit C2 [Source:HGNC Symbol;Acc:HGNC:7706]	Pan 2008	1	Ntostis 2021	1	no
NUBPL	ENSG00000151413	14:31489956-31861224:1	protein_coding	NUBP iron-sulfur cluster assembly factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:20278]	Yuan 2021	1	.	0	yes
NEK7	ENSG00000151414	1:198156994-198322420:1	protein_coding	NIMA related kinase 7 [Source:HGNC Symbol;Acc:HGNC:13386]	.	0	Llonch 2021	1	yes
FER	ENSG00000151422	5:108747841-109196841:1	protein_coding	FER tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3655]	Steuerwald 2007	1	.	0	yes
VIPAS39	ENSG00000151445	14:77426675-77457952:-1	protein_coding	VPS33B interacting protein, apical-basolateral polarity regulator, spe-39 homolog [Source:HGNC Symbol;Acc:HGNC:20347]	Yuan 2021	1	.	0	yes
ANKRD50	ENSG00000151458	4:124664048-124712732:-1	protein_coding	ankyrin repeat domain containing 50 [Source:HGNC Symbol;Acc:HGNC:29223]	.	0	This study	1	yes
UPF2	ENSG00000151461	10:11920022-12043170:-1	protein_coding	UPF2 regulator of nonsense mediated mRNA decay [Source:HGNC Symbol;Acc:HGNC:17854]	.	0	Barone 2020, Hamatini 2004	2	yes
CCDC3	ENSG00000151468	10:12896625-13099652:-1	protein_coding	coiled-coil domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23813]	.	0	Llonch 2021	1	yes
EPS8	ENSG00000151491	12:15620134-15882329:-1	protein_coding	epidermal growth factor receptor pathway substrate 8 [Source:HGNC Symbol;Acc:HGNC:3420]	This study	1	Hamatini 2004, Pan 2008	2	no
ACAD8	ENSG00000151498	11:134253548-134265855:1	protein_coding	acyl-CoA dehydrogenase family member 8 [Source:HGNC Symbol;Acc:HGNC:87]	.	0	Barone 2020	1	yes
THYN1	ENSG00000151500	11:134248279-134253370:-1	protein_coding	thymocyte nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:29560]	.	0	Barone 2020, Yuan 2021	2	yes
VPS26B	ENSG00000151502	11:134224671-134247788:1	protein_coding	VPS26 retromer complex component B [Source:HGNC Symbol;Acc:HGNC:28119]	.	0	Barone 2020, Ntostis 2021	2	yes
QDPR	ENSG00000151552	4:17460261-17512206:-1	protein_coding	quinoid dihydropteridine reductase [Source:HGNC Symbol;Acc:HGNC:9752]	.	0	Barone 2020	1	yes
TEX9	ENSG00000151575	15:56243971-56445997:1	protein_coding	testis expressed 9 [Source:HGNC Symbol;Acc:HGNC:29585]	Pan 2008	1	.	0	yes
ADAM8	ENSG00000151651	10:133262420-133276868:-1	protein_coding	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]	Ntostis 2021	1	.	0	yes
ITIH2	ENSG00000151655	10:7703316-7749520:1	protein_coding	inter-alpha-trypsin inhibitor heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:6167]	Barone 2020	1	.	0	yes
INPP1	ENSG00000151689	2:190343570-190371665:1	protein_coding	inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]	Grondahl 2010	1	.	0	yes
MFSD6	ENSG00000151690	2:190408355-190509205:1	protein_coding	major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711]	Barone 2020	1	.	0	yes
ASAP2	ENSG00000151693	2:9206765-9405683:1	protein_coding	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]	.	0	Barone 2020	1	yes
ADAM17	ENSG00000151694	2:9488486-9556732:-1	protein_coding	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	.	0	Pan 2008	1	yes
FLI1	ENSG00000151702	11:128686535-128813267:1	protein_coding	Fli-1 proto-oncogene, ETS transcription factor [Source:HGNC Symbol;Acc:HGNC:3749]	Llonch 2021	1	.	0	yes
TMEM45B	ENSG00000151715	11:129815848-129860003:1	protein_coding	transmembrane protein 45B [Source:HGNC Symbol;Acc:HGNC:25194]	.	0	Ntostis 2021	1	yes
WWC2	ENSG00000151718	4:183099257-183320777:1	protein_coding	WW and C2 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24148]	.	0	This study	1	yes
ACSL1	ENSG00000151726	4:184755595-184826818:-1	protein_coding	acyl-CoA synthetase long chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]	.	0	Ntostis 2021	1	yes
SLC25A4	ENSG00000151729	4:185143266-185150382:1	protein_coding	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	Pan 2008	1	Ntostis 2021	1	no
AMN1	ENSG00000151743	12:31671142-31729121:-1	protein_coding	antagonist of mitotic exit network 1 homolog [Source:HGNC Symbol;Acc:HGNC:27281]	.	0	This study, Zhang 2020	2	yes
NBAS	ENSG00000151779	2:15166916-15561340:-1	protein_coding	NBAS subunit of NRZ tethering complex [Source:HGNC Symbol;Acc:HGNC:15625]	.	0	Barone 2020	1	yes
ZNF385D	ENSG00000151789	3:21412218-22373321:-1	protein_coding	zinc finger protein 385D [Source:HGNC Symbol;Acc:HGNC:26191]	.	0	Llonch 2021	1	yes
CCL28	ENSG00000151882	5:43376645-43412391:-1	protein_coding	C-C motif chemokine ligand 28 [Source:HGNC Symbol;Acc:HGNC:17700]	Barone 2020	1	.	0	yes
GFRA1	ENSG00000151892	10:116056925-116276803:-1	protein_coding	GDNF family receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4243]	Barone 2020	1	.	0	yes
DST	ENSG00000151914	6:56457987-56954830:-1	protein_coding	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]	This study	1	.	0	yes
TIAL1	ENSG00000151923	10:119571802-119597029:-1	protein_coding	TIA1 cytotoxic granule associated RNA binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11804]	.	0	Llonch 2021, Pan 2008	2	yes
BAG3	ENSG00000151929	10:119651380-119677819:1	protein_coding	BAG cochaperone 3 [Source:HGNC Symbol;Acc:HGNC:939]	Barone 2020	1	.	0	yes
KCNE4	ENSG00000152049	2:223052190-223198399:1	protein_coding	potassium voltage-gated channel subfamily E regulatory subunit 4 [Source:HGNC Symbol;Acc:HGNC:6244]	.	0	This study	1	yes
AP1S3	ENSG00000152056	2:223667680-223838027:-1	protein_coding	adaptor related protein complex 1 subunit sigma 3 [Source:HGNC Symbol;Acc:HGNC:18971]	Pan 2008, This study	2	Llonch 2021, Ntostis 2021	2	no
RABGAP1L	ENSG00000152061	1:174159410-174995308:1	protein_coding	RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663]	.	0	Grondahl 2010	1	yes
TUBA3E	ENSG00000152086	2:130191745-130198439:-1	protein_coding	tubulin alpha 3e [Source:HGNC Symbol;Acc:HGNC:20765]	Reyes 2017	1	.	0	yes
GPATCH11	ENSG00000152133	2:37084518-37099244:1	protein_coding	G-patch domain containing 11 [Source:HGNC Symbol;Acc:HGNC:26768]	Llonch 2021	1	.	0	yes
RIT2	ENSG00000152214	18:42743227-43115691:-1	protein_coding	Ras like without CAAX 2 [Source:HGNC Symbol;Acc:HGNC:10017]	.	0	Pan 2008, This study	2	yes
PSTPIP2	ENSG00000152229	18:45983536-46072272:-1	protein_coding	proline-serine-threonine phosphatase interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:9581]	Pan 2008	1	.	0	yes
ATP5F1A	ENSG00000152234	18:46080248-46104334:-1	protein_coding	ATP synthase F1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:823]	.	0	Ntostis 2021	1	yes
TCF7L1	ENSG00000152284	2:85133392-85310387:1	protein_coding	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	.	0	Barone 2020	1	yes
UHMK1	ENSG00000152332	1:162497251-162529631:1	protein_coding	U2AF homology motif kinase 1 [Source:HGNC Symbol;Acc:HGNC:19683]	.	0	Llonch 2021	1	yes
SPOCK1	ENSG00000152377	5:136975298-137598379:-1	protein_coding	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1 [Source:HGNC Symbol;Acc:HGNC:11251]	Yuan 2021	1	.	0	yes
TADA1	ENSG00000152382	1:166856510-166876264:-1	protein_coding	transcriptional adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30631]	Barone 2020	1	.	0	yes
CWF19L2	ENSG00000152404	11:107326360-107457825:-1	protein_coding	CWF19 like cell cycle control factor 2 [Source:HGNC Symbol;Acc:HGNC:26508]	Llonch 2021	1	.	0	yes
XRCC4	ENSG00000152422	5:83077498-83353787:1	protein_coding	X-ray repair cross complementing 4 [Source:HGNC Symbol;Acc:HGNC:12831]	Llonch 2021	1	.	0	yes
ZNF256	ENSG00000152454	19:57940833-57947706:-1	protein_coding	zinc finger protein 256 [Source:HGNC Symbol;Acc:HGNC:13049]	Barone 2020	1	.	0	yes
DCLRE1C	ENSG00000152457	10:14897359-14954432:-1	protein_coding	DNA cross-link repair 1C [Source:HGNC Symbol;Acc:HGNC:17642]	Barone 2020	1	.	0	yes
TRIM36	ENSG00000152503	5:115124762-115180546:-1	protein_coding	tripartite motif containing 36 [Source:HGNC Symbol;Acc:HGNC:16280]	Barone 2020	1	.	0	yes
GRIA4	ENSG00000152578	11:105609535-105982090:1	protein_coding	glutamate ionotropic receptor AMPA type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4574]	Pan 2008, This study	2	.	0	yes
IGSF10	ENSG00000152580	3:151425384-151461061:-1	protein_coding	immunoglobulin superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:26384]	.	0	Pan 2008	1	yes
NADK2	ENSG00000152620	5:36192589-36242279:-1	protein_coding	NAD kinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26404]	Barone 2020	1	.	0	yes
GPD1L	ENSG00000152642	3:32105689-32168709:1	protein_coding	glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]	.	0	Pan 2008	1	yes
GJA1	ENSG00000152661	6:121435595-121449727:1	protein_coding	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	Barone 2020	1	.	0	yes
DDX4	ENSG00000152670	5:55738017-55817157:1	protein_coding	DEAD-box helicase 4 [Source:HGNC Symbol;Acc:HGNC:18700]	.	0	Hamatini 2004, Yuan 2021	2	yes
